asset_index,top_number,closing_id,median_down
0,3,4,1.9850679891112766
0,4,8,1.9850679891112766
0,5,26,1.521002651052485
0,6,14,1.5079344534486556
0,7,2,1.4301890680689269
0,8,9,1.4301890680689269
0,9,15,1.2073796720280185
0,10,23,1.2073796720280185
18,1,10,1.4611914826693388
18,2,129,1.35596322610286
18,3,127,1.338138420336022
18,4,131,1.338138420336022
18,5,138,1.338138420336022
18,6,126,1.320313614569184
18,7,133,1.320313614569184
18,8,140,1.320313614569184
18,9,124,1.312659712440341
18,10,141,1.312659712440341
36,1,63,0.673289036453365
36,2,66,0.673289036453365
36,3,43,0.670563601745364
36,4,45,0.670563601745364
36,5,54,0.670563601745364
36,6,64,0.670563601745364
36,7,67,0.670563601745364
36,8,123,0.670563601745364
36,9,36,0.657713574272546
36,10,42,0.657713574272546
